date,site,variable,data
2012-04-01,Zanzibar Channel,rainfall,263.5
2012-05-01,Zanzibar Channel,rainfall,109.6
2012-06-01,Zanzibar Channel,rainfall,9.7
2012-07-01,Zanzibar Channel,rainfall,3.2
2012-08-01,Zanzibar Channel,rainfall,19.2
2012-09-01,Zanzibar Channel,rainfall,16.3
2012-10-01,Zanzibar Channel,rainfall,0.8
2012-11-01,Zanzibar Channel,rainfall,124
2012-12-01,Zanzibar Channel,rainfall,66.8
2013-01-01,Zanzibar Channel,rainfall,67.4
2013-02-01,Zanzibar Channel,rainfall,1.6
2013-03-01,Zanzibar Channel,rainfall,190.2
2013-04-01,Zanzibar Channel,rainfall,179
2013-05-01,Zanzibar Channel,rainfall,85.8
2013-06-01,Zanzibar Channel,rainfall,1.2
2013-07-01,Zanzibar Channel,rainfall,2.3
2013-08-01,Zanzibar Channel,rainfall,9.1
2013-09-01,Zanzibar Channel,rainfall,19.7
2013-10-01,Zanzibar Channel,rainfall,37
2013-11-01,Zanzibar Channel,rainfall,69.3
2013-12-01,Zanzibar Channel,rainfall,69.6
2014-01-01,Zanzibar Channel,rainfall,0.9
2014-02-01,Zanzibar Channel,rainfall,80.6
2014-03-01,Zanzibar Channel,rainfall,426.3
2014-04-01,Zanzibar Channel,rainfall,449.2
2014-05-01,Zanzibar Channel,rainfall,154.5
2014-06-01,Zanzibar Channel,rainfall,4.2
2014-07-01,Zanzibar Channel,rainfall,7.9
2014-08-01,Zanzibar Channel,rainfall,0.5
2014-09-01,Zanzibar Channel,rainfall,60.8
2014-10-01,Zanzibar Channel,rainfall,20.1
2014-11-01,Zanzibar Channel,rainfall,33.9
2014-12-01,Zanzibar Channel,rainfall,40
2015-01-01,Zanzibar Channel,rainfall,50.1
2015-02-01,Zanzibar Channel,rainfall,0.8
2015-03-01,Zanzibar Channel,rainfall,226.2
2015-04-01,Zanzibar Channel,rainfall,161
2015-05-01,Zanzibar Channel,rainfall,342.5
2015-06-01,Zanzibar Channel,rainfall,3.5
2015-07-01,Zanzibar Channel,rainfall,8.7
2015-08-01,Zanzibar Channel,rainfall,20.9
2015-09-01,Zanzibar Channel,rainfall,11
2015-10-01,Zanzibar Channel,rainfall,15.5
2015-11-01,Zanzibar Channel,rainfall,132.6
2015-12-01,Zanzibar Channel,rainfall,66.1
2016-01-01,Zanzibar Channel,rainfall,154.2
2016-02-01,Zanzibar Channel,rainfall,98.7
2016-03-01,Zanzibar Channel,rainfall,56.2
2016-04-01,Zanzibar Channel,rainfall,352.8
2016-05-01,Zanzibar Channel,rainfall,8.6
2016-06-01,Zanzibar Channel,rainfall,3.5
2016-07-01,Zanzibar Channel,rainfall,1.9
2016-08-01,Zanzibar Channel,rainfall,4.3
2016-09-01,Zanzibar Channel,rainfall,26.8
2016-10-01,Zanzibar Channel,rainfall,0.1
2016-11-01,Zanzibar Channel,rainfall,49.6
